ID,section,sectionLabel,order,weight,text
1-Jan,1,Knowledge / Beliefs,1,1,I believe that the Bible (the Old and New Testaments) is the written Word of God and accurate in all that it teaches.
2-Jan,1,Knowledge / Beliefs,2,1,"Above my feelings, emotions, religious or family traditions, or any other human authority, the Bible has the final authority over every area of my life."
3-Jan,1,Knowledge / Beliefs,3,-1,"Although I know that the Bible is sufficient to know God and His will for my life, I am open to know God and His will for me by new revelations, through visions and dreams."
4-Jan,1,Knowledge / Beliefs,4,1,"I believe God is one in essence but distinct in person—Father, Son, and Holy Spirit."
5-Jan,1,Knowledge / Beliefs,5,1,I believe God is in control of everything and that nothing happens without His permission.
6-Jan,1,Knowledge / Beliefs,6,1,"I believe God always has a good purpose for my life, even when I suffer or when bad things happen to me."
7-Jan,1,Knowledge / Beliefs,7,1,"I believe that Jesus is God incarnate, fully God and fully man."
8-Jan,1,Knowledge / Beliefs,8,1,"I believe we are created in the image of God and therefore have equal value, regardless of race, religion, beliefs, or gender."
9-Jan,1,Knowledge / Beliefs,9,-1,"Although I believe that every person is affected by the original sin, I still believe that human beings are basically good in God's eyes."
10-Jan,1,Knowledge / Beliefs,10,1,"I believe that the Holy Spirit is God with me and in me, empowering me to live and grow in Jesus’ likeness and accomplish Jesus’ mission in this world."
11-Jan,1,Knowledge / Beliefs,11,1,"I am confident that Jesus is the only way to God, which means that Jesus’ death on the cross is the one thing that can remove the penalty of my sin, and Jesus’ physical resurrection is the one thing that can give me a new life, reconciled with God."
12-Jan,1,Knowledge / Beliefs,12,1,"I am not saved (forgiven and accepted by God as His child) by what I can do for God, but by what He has done for me. In terms of salvation and reconciliation with God, it doesn’t matter how good I am (or I try to be)."
13-Jan,1,Knowledge / Beliefs,13,1,"I believe that when I receive Christ in my heart, I am also received in the body of Christ, the church, which means that unless I am actively engaged with a local church, I cannot grow as a disciple."
14-Jan,1,Knowledge / Beliefs,14,1,I believe Jesus Christ will physically come a second time to gather all believers to be with Him forever.
15-Jan,1,Knowledge / Beliefs,15,1,I believe that only those who were born again are truly children of God.
16-Jan,1,Knowledge / Beliefs,16,-1,"In normal, daily situations in my life or in my friends’ lives, I do not easily remember biblical truths that are applicable to the moment."
1-Feb,2,Character,1,1,I have Christian friends who keep me accountable.
2-Feb,2,Character,2,1,"Most of the time, I am aware and make significant efforts to live out my faith, avoiding hypocrisy."
3-Feb,2,Character,3,1,"I usually try to avoid situations in which I might be tempted to think, say, or do immoral things. "
4-Feb,2,Character,4,-1,I am a different person in private than I am in public.
5-Feb,2,Character,5,1,"When I realize my attitude does not please God, I take steps to try and fix it through prayer and confession."
6-Feb,2,Character,6,1,I have no issues sharing the struggles and temptations I am experiencing when I talk to close Christian friends.
7-Feb,2,Character,7,-1,Christian friends do not easily recognize the presence of the fruit of the Spirit (Galatians 5:22-23) in my life.
